random_sampler_compression,space_based_compression,voxel_based_compression,percentage_of_minor_classes_retained
0.66,0.925,0.525,0.67
0.5,0.125,0.825,0.52
0.53,0.525,0.425,0.5
0.74,0.625,0.625,0.68
0.7,0.525,0.325,0.55
0.31,0.725,0.225,0.37
0.44,0.725,0.225,0.43
0.39,0.425,0.225,0.35
0.52,0.925,0.125,0.48
0.68,0.725,0.925,0.76
0.48,0.425,0.325,0.42
0.35,0.425,0.425,0.39
0.55,0.625,0.825,0.65
0.53,0.225,0.425,0.44
0.31,0.825,0.425,0.45
0.39,0.325,0.225,0.33
0.47,0.725,0.125,0.42
0.5,0.725,0.525,0.55
0.64,0.225,0.825,0.61
0.47,0.525,0.125,0.38
0.58,0.425,0.925,0.65
0.45,0.625,0.425,0.48
0.58,0.825,0.925,0.73
0.52,0.225,0.425,0.43
0.63,0.325,0.625,0.57
0.66,0.925,0.225,0.58
0.69,0.725,0.225,0.56
0.72,0.325,0.125,0.46
0.47,0.125,0.625,0.45
0.45,0.925,0.125,0.45
0.37,0.725,0.825,0.58
0.49,0.825,0.925,0.69
0.49,0.725,0.225,0.46
0.67,0.825,0.125,0.54
0.67,0.725,0.425,0.61
0.5,0.725,0.525,0.55
0.49,0.125,0.925,0.55
0.69,0.725,0.525,0.65
0.68,0.725,0.825,0.73
0.55,0.625,0.525,0.56
0.49,0.225,0.625,0.48
0.43,0.125,0.125,0.28
0.8,0.925,0.525,0.74
0.52,0.825,0.325,0.52
0.32,0.925,0.325,0.44
0.41,0.125,0.125,0.27
0.31,0.725,0.425,0.43
0.59,0.725,0.425,0.57
0.39,0.725,0.125,0.38
0.33,0.325,0.625,0.42
0.78,0.325,0.425,0.58
0.58,0.125,0.525,0.47
0.39,0.825,0.625,0.55
0.6,0.125,0.125,0.36
0.59,0.125,0.725,0.54
0.31,0.425,0.425,0.37
0.46,0.125,0.525,0.41
0.79,0.225,0.625,0.63
0.44,0.825,0.125,0.42
0.31,0.125,0.725,0.4
0.41,0.325,0.225,0.34
0.34,0.425,0.725,0.47
0.31,0.225,0.425,0.33
0.74,0.225,0.525,0.57
0.56,0.125,0.525,0.46
0.75,0.525,0.125,0.52
0.45,0.525,0.525,0.49
0.7,0.525,0.125,0.49
0.8,0.925,0.125,0.62
0.6,0.925,0.525,0.64
0.4,0.125,0.625,0.41
0.45,0.425,0.625,0.5
0.47,0.625,0.725,0.58
0.57,0.925,0.225,0.54
0.64,0.625,0.925,0.72
0.52,0.625,0.625,0.57
0.33,0.725,0.425,0.44
0.39,0.125,0.625,0.41
0.43,0.825,0.925,0.66
0.5,0.625,0.625,0.56
0.49,0.725,0.625,0.58
0.7,0.725,0.325,0.59
0.5,0.325,0.325,0.41
0.58,0.125,0.125,0.35
0.44,0.425,0.525,0.46
0.73,0.625,0.925,0.77
0.58,0.725,0.725,0.65
0.48,0.725,0.425,0.51
0.53,0.725,0.125,0.45
0.71,0.925,0.825,0.79
0.3,0.325,0.725,0.43
0.66,0.825,0.425,0.62
0.48,0.325,0.225,0.37
0.38,0.625,0.425,0.44
0.43,0.125,0.825,0.49
0.67,0.625,0.125,0.5
0.73,0.125,0.125,0.43
0.78,0.525,0.825,0.74
0.54,0.825,0.625,0.62
0.73,0.725,0.625,0.7
0.45,0.225,0.825,0.52
0.44,0.825,0.325,0.48
0.38,0.325,0.525,0.41
0.43,0.825,0.125,0.42
0.52,0.325,0.925,0.6
0.58,0.525,0.225,0.46
0.32,0.825,0.425,0.45
0.7,0.525,0.225,0.52
0.59,0.225,0.525,0.5
0.5,0.225,0.825,0.54
0.32,0.925,0.825,0.59
0.74,0.425,0.125,0.49
0.47,0.725,0.125,0.42
0.74,0.625,0.825,0.74
0.51,0.325,0.525,0.48
0.47,0.125,0.525,0.42
0.48,0.925,0.125,0.46
0.74,0.825,0.125,0.57
0.7,0.425,0.825,0.68
0.43,0.225,0.425,0.39
0.73,0.725,0.125,0.55
0.77,0.125,0.525,0.57
0.39,0.525,0.425,0.43
0.42,0.725,0.525,0.51
0.48,0.325,0.125,0.34
0.76,0.725,0.625,0.71
0.58,0.125,0.625,0.5
0.58,0.825,0.725,0.67
0.46,0.725,0.625,0.56
0.43,0.625,0.325,0.44
0.67,0.925,0.825,0.77
0.65,0.225,0.125,0.41
0.4,0.125,0.425,0.35
0.42,0.625,0.825,0.58
0.36,0.525,0.625,0.47
0.36,0.825,0.725,0.56
0.32,0.125,0.825,0.43
0.69,0.525,0.725,0.67
0.51,0.225,0.125,0.34
0.5,0.425,0.725,0.55
0.57,0.525,0.625,0.58
0.55,0.825,0.825,0.69
0.36,0.125,0.525,0.36
0.73,0.825,0.425,0.66
0.63,0.425,0.925,0.68
0.55,0.225,0.325,0.42
0.77,0.125,0.825,0.66
0.7,0.925,0.525,0.69
0.68,0.525,0.725,0.66
0.62,0.425,0.625,0.58
0.31,0.125,0.525,0.34
0.46,0.725,0.525,0.53
0.66,0.125,0.125,0.39
0.46,0.325,0.825,0.54
0.34,0.225,0.525,0.37
0.33,0.325,0.325,0.33
0.66,0.725,0.125,0.51
0.58,0.625,0.825,0.66
0.72,0.625,0.525,0.64
0.65,0.425,0.525,0.57
0.41,0.725,0.125,0.39
0.52,0.225,0.225,0.37
0.58,0.225,0.825,0.58
0.35,0.125,0.825,0.45
0.57,0.525,0.925,0.67
0.57,0.125,0.325,0.41
0.72,0.325,0.925,0.7
0.34,0.825,0.925,0.61
0.75,0.925,0.525,0.72
0.5,0.225,0.725,0.51
0.65,0.325,0.825,0.64
0.58,0.425,0.125,0.41
0.75,0.925,0.725,0.78
0.65,0.925,0.625,0.7
0.33,0.825,0.825,0.58
0.56,0.125,0.325,0.4
0.35,0.225,0.925,0.5
0.66,0.325,0.525,0.55
0.39,0.225,0.125,0.28
0.51,0.425,0.125,0.38
0.48,0.825,0.625,0.59
0.53,0.125,0.425,0.42
0.73,0.125,0.825,0.64
0.48,0.925,0.525,0.58
0.69,0.525,0.625,0.64
0.38,0.825,0.225,0.42
0.58,0.525,0.325,0.49
0.55,0.925,0.525,0.62
0.36,0.225,0.825,0.47
0.53,0.825,0.825,0.68
0.38,0.725,0.225,0.4
0.5,0.225,0.525,0.45
0.63,0.325,0.525,0.54
0.33,0.925,0.225,0.42
0.47,0.325,0.225,0.37
0.51,0.325,0.725,0.54
0.78,0.325,0.525,0.61
0.68,0.625,0.225,0.53
0.38,0.425,0.625,0.46
0.42,0.725,0.525,0.51
0.6,0.625,0.925,0.7
0.45,0.425,0.825,0.56
0.68,0.125,0.425,0.49
0.59,0.525,0.925,0.68
0.47,0.325,0.125,0.34
0.63,0.925,0.425,0.63
0.7,0.925,0.725,0.75
0.8,0.725,0.225,0.61
0.59,0.325,0.925,0.64
0.51,0.925,0.525,0.6
0.38,0.225,0.925,0.51
0.64,0.325,0.525,0.54
0.63,0.225,0.725,0.58
0.55,0.325,0.525,0.5
0.62,0.525,0.225,0.48
0.57,0.325,0.525,0.51
0.39,0.625,0.925,0.6
0.67,0.425,0.725,0.64
0.69,0.425,0.825,0.68
0.66,0.525,0.325,0.53
0.53,0.825,0.325,0.53
0.66,0.825,0.725,0.71
0.7,0.325,0.325,0.51
0.76,0.125,0.725,0.62
0.57,0.525,0.325,0.49
0.36,0.725,0.325,0.42
0.52,0.425,0.725,0.56
0.67,0.825,0.825,0.75
0.58,0.825,0.525,0.61
0.36,0.725,0.125,0.36
0.52,0.225,0.425,0.43
0.42,0.225,0.825,0.5
0.34,0.325,0.325,0.33
0.67,0.525,0.925,0.72
0.59,0.925,0.525,0.64
0.46,0.925,0.825,0.66
0.61,0.125,0.425,0.46
0.73,0.525,0.325,0.57
0.44,0.725,0.725,0.58
0.43,0.325,0.725,0.5
0.75,0.925,0.625,0.75
0.76,0.725,0.125,0.56
0.63,0.925,0.825,0.75
0.52,0.325,0.725,0.54
0.65,0.825,0.625,0.68
0.39,0.925,0.825,0.63
0.37,0.225,0.125,0.27
0.36,0.425,0.725,0.48
0.46,0.825,0.725,0.61
0.67,0.725,0.525,0.64
0.51,0.725,0.225,0.47
0.65,0.325,0.725,0.61
0.34,0.925,0.525,0.51
0.74,0.625,0.325,0.59
0.58,0.725,0.525,0.59
0.44,0.725,0.625,0.55
0.8,0.225,0.825,0.69
0.53,0.925,0.225,0.52
0.36,0.825,0.125,0.38
0.33,0.525,0.725,0.49
0.8,0.425,0.825,0.73
0.51,0.425,0.525,0.5
0.38,0.525,0.825,0.54
0.65,0.425,0.225,0.48
0.71,0.125,0.825,0.63
0.34,0.725,0.325,0.41
0.55,0.625,0.225,0.47
0.8,0.425,0.825,0.73
0.47,0.125,0.825,0.51
0.39,0.225,0.525,0.4
0.7,0.425,0.325,0.53
0.73,0.525,0.425,0.6
0.56,0.225,0.525,0.48
0.47,0.525,0.425,0.47
0.67,0.325,0.325,0.5
0.35,0.225,0.225,0.29
0.37,0.325,0.925,0.53
0.32,0.825,0.925,0.6
0.36,0.925,0.825,0.61
0.36,0.225,0.125,0.26
0.6,0.825,0.325,0.56
0.71,0.425,0.525,0.6
0.79,0.425,0.725,0.7
0.59,0.825,0.125,0.5
0.7,0.925,0.325,0.63
0.59,0.125,0.825,0.57
0.36,0.425,0.825,0.51
0.58,0.725,0.725,0.65
0.74,0.125,0.125,0.43
0.36,0.625,0.225,0.37
0.65,0.525,0.225,0.5
0.5,0.825,0.325,0.51
0.69,0.825,0.125,0.55
0.37,0.125,0.825,0.46
0.72,0.125,0.225,0.45
0.71,0.225,0.825,0.65
0.46,0.525,0.525,0.49
0.71,0.825,0.225,0.59
0.37,0.425,0.825,0.52
0.76,0.925,0.125,0.6
0.36,0.225,0.225,0.29
0.72,0.925,0.325,0.64
0.56,0.225,0.325,0.42
0.74,0.825,0.125,0.57
0.63,0.925,0.125,0.54
0.63,0.425,0.125,0.44
0.35,0.825,0.325,0.44
0.5,0.425,0.325,0.43
0.45,0.125,0.225,0.32
0.65,0.725,0.725,0.69
0.46,0.425,0.525,0.47
0.46,0.625,0.425,0.48
0.62,0.825,0.525,0.63
0.41,0.225,0.125,0.29
0.46,0.325,0.525,0.45
0.39,0.125,0.925,0.5
0.67,0.325,0.325,0.5
0.8,0.725,0.225,0.61
0.67,0.325,0.725,0.62
0.64,0.325,0.625,0.57
0.55,0.425,0.125,0.4
0.7,0.125,0.125,0.41
0.75,0.425,0.125,0.5
0.61,0.625,0.225,0.5
0.62,0.725,0.425,0.58
0.54,0.625,0.825,0.64
0.72,0.525,0.925,0.74
0.65,0.725,0.325,0.57
0.7,0.625,0.925,0.75
0.44,0.325,0.225,0.35
0.55,0.125,0.925,0.58
0.45,0.925,0.625,0.6
0.72,0.525,0.825,0.71
0.6,0.825,0.325,0.56
0.38,0.425,0.725,0.49
0.55,0.325,0.425,0.47
0.65,0.325,0.225,0.46
0.33,0.125,0.925,0.47
0.67,0.725,0.125,0.52
0.6,0.425,0.925,0.66
0.72,0.525,0.725,0.68
0.46,0.125,0.625,0.44
0.51,0.425,0.725,0.56
0.35,0.125,0.425,0.33
0.6,0.625,0.425,0.55
0.6,0.925,0.525,0.64
0.52,0.925,0.925,0.72
0.69,0.325,0.125,0.45
0.69,0.225,0.925,0.67
0.49,0.225,0.825,0.54
0.67,0.525,0.525,0.6
0.42,0.625,0.825,0.58
0.31,0.325,0.625,0.41
0.59,0.825,0.725,0.68
0.47,0.425,0.425,0.45
0.37,0.625,0.625,0.5
0.62,0.125,0.425,0.46
0.48,0.325,0.325,0.4
0.39,0.325,0.625,0.45
0.44,0.525,0.325,0.42
0.75,0.125,0.525,0.56
0.53,0.525,0.425,0.5
0.43,0.125,0.925,0.52
0.77,0.525,0.725,0.71
0.78,0.725,0.425,0.66
0.6,0.225,0.325,0.44
0.36,0.425,0.125,0.3
0.7,0.125,0.325,0.47
0.41,0.525,0.625,0.5
0.35,0.825,0.825,0.59
0.68,0.925,0.425,0.65
0.6,0.425,0.225,0.45
0.79,0.325,0.925,0.74
0.7,0.225,0.325,0.49
0.3,0.425,0.625,0.42
0.48,0.725,0.225,0.45
0.65,0.325,0.225,0.46
0.36,0.225,0.225,0.29
0.5,0.725,0.325,0.49
0.76,0.925,0.225,0.63
0.39,0.225,0.325,0.34
0.39,0.625,0.925,0.6
0.54,0.825,0.225,0.5
0.5,0.825,0.625,0.6
0.63,0.525,0.625,0.61
0.64,0.625,0.525,0.6
0.69,0.925,0.825,0.78
0.45,0.425,0.425,0.44
0.65,0.325,0.925,0.67
0.49,0.625,0.425,0.5
0.64,0.225,0.125,0.4
0.55,0.725,0.125,0.46
0.63,0.825,0.525,0.64
0.67,0.725,0.825,0.73
0.71,0.825,0.125,0.56
0.73,0.725,0.125,0.55
0.73,0.225,0.125,0.45
0.74,0.325,0.225,0.5
0.5,0.125,0.825,0.52
0.78,0.725,0.325,0.63
0.65,0.225,0.425,0.5
0.59,0.425,0.925,0.66
0.57,0.225,0.925,0.61
0.54,0.325,0.725,0.55
0.8,0.425,0.325,0.58
0.71,0.425,0.825,0.69
0.3,0.825,0.325,0.41
0.37,0.625,0.225,0.38
0.38,0.225,0.125,0.27
0.71,0.925,0.125,0.58
0.79,0.825,0.425,0.69
0.32,0.225,0.225,0.27
0.69,0.125,0.525,0.53
0.38,0.525,0.625,0.48
0.49,0.625,0.525,0.53
0.35,0.325,0.325,0.34
0.49,0.725,0.225,0.46
0.54,0.625,0.225,0.46
0.59,0.725,0.325,0.54
0.37,0.525,0.725,0.51
0.63,0.825,0.725,0.7
0.63,0.825,0.925,0.76
0.45,0.625,0.825,0.6
0.62,0.725,0.425,0.58
0.47,0.725,0.225,0.45
0.67,0.825,0.825,0.75
0.67,0.825,0.325,0.6
0.76,0.725,0.325,0.62
0.66,0.425,0.125,0.45
0.65,0.425,0.525,0.57
0.65,0.625,0.125,0.49
0.8,0.325,0.325,0.56
0.49,0.725,0.525,0.55
0.45,0.825,0.725,0.61
0.75,0.425,0.525,0.62
0.66,0.825,0.825,0.74
0.58,0.225,0.925,0.61
0.69,0.525,0.525,0.61
0.4,0.525,0.825,0.55
0.47,0.225,0.425,0.41
0.72,0.825,0.425,0.65
0.57,0.925,0.825,0.72
0.45,0.525,0.825,0.58
0.61,0.425,0.325,0.49
0.63,0.425,0.225,0.47
0.66,0.425,0.925,0.69
0.73,0.625,0.925,0.77
0.38,0.325,0.425,0.38
0.74,0.425,0.125,0.49
0.48,0.525,0.925,0.62
0.45,0.725,0.425,0.5
0.76,0.325,0.925,0.72
0.35,0.525,0.925,0.56
0.73,0.625,0.625,0.68
0.76,0.425,0.425,0.59
0.56,0.125,0.225,0.37
0.79,0.725,0.725,0.76
0.65,0.725,0.925,0.75
0.66,0.925,0.325,0.61
0.59,0.425,0.625,0.57
0.32,0.325,0.625,0.41
0.33,0.725,0.625,0.5
0.55,0.825,0.825,0.69
0.54,0.525,0.625,0.56
0.79,0.525,0.725,0.72
0.69,0.425,0.925,0.71
0.38,0.525,0.825,0.54
0.59,0.825,0.625,0.65
0.53,0.525,0.725,0.59
0.38,0.325,0.225,0.32
0.31,0.825,0.125,0.36
0.78,0.125,0.225,0.48
0.77,0.525,0.825,0.74
0.32,0.125,0.225,0.25
0.34,0.425,0.225,0.32
0.67,0.125,0.925,0.64
0.44,0.725,0.325,0.46
0.52,0.525,0.225,0.43
0.39,0.825,0.925,0.64
0.79,0.425,0.125,0.52
0.39,0.325,0.325,0.36
0.44,0.925,0.725,0.62
0.34,0.825,0.325,0.43
0.66,0.525,0.425,0.56
0.3,0.425,0.625,0.42
0.64,0.625,0.925,0.72
0.73,0.225,0.625,0.6
0.61,0.325,0.225,0.44
0.68,0.725,0.625,0.67
0.78,0.525,0.425,0.62
0.56,0.225,0.225,0.39
0.31,0.925,0.125,0.38
0.42,0.125,0.725,0.45
0.77,0.325,0.225,0.52
0.68,0.625,0.225,0.53
0.38,0.525,0.125,0.33
0.43,0.325,0.725,0.5
0.39,0.925,0.525,0.54
0.37,0.425,0.825,0.52
0.45,0.725,0.625,0.56
0.52,0.825,0.225,0.49
0.68,0.925,0.625,0.71
0.44,0.425,0.925,0.58
0.63,0.125,0.325,0.44
0.54,0.725,0.425,0.54
0.59,0.525,0.125,0.44
0.36,0.325,0.325,0.34
0.61,0.925,0.725,0.71
0.48,0.825,0.725,0.62
0.47,0.925,0.325,0.52
0.31,0.325,0.725,0.44
0.37,0.125,0.525,0.37
0.44,0.925,0.325,0.5
0.52,0.125,0.725,0.5
0.59,0.425,0.925,0.66
0.54,0.625,0.425,0.52
0.71,0.625,0.525,0.64
0.33,0.525,0.525,0.43
0.53,0.425,0.425,0.48
0.72,0.725,0.925,0.78
0.5,0.525,0.125,0.39
0.33,0.125,0.725,0.41
0.64,0.625,0.325,0.54
0.36,0.225,0.425,0.35
0.62,0.525,0.925,0.69
0.43,0.425,0.125,0.34
0.42,0.425,0.925,0.57
0.37,0.625,0.625,0.5
0.51,0.225,0.325,0.4
0.57,0.225,0.325,0.43
0.75,0.125,0.625,0.59
0.73,0.725,0.425,0.64
0.48,0.125,0.125,0.3
0.41,0.925,0.925,0.67
0.39,0.325,0.225,0.33
0.46,0.325,0.225,0.36
0.63,0.925,0.225,0.57
0.55,0.325,0.525,0.5
0.78,0.325,0.525,0.61
0.7,0.825,0.325,0.61
0.5,0.225,0.925,0.57
0.75,0.625,0.825,0.75
0.72,0.425,0.725,0.66
0.36,0.425,0.925,0.54
0.31,0.725,0.725,0.52
0.42,0.225,0.325,0.35
0.66,0.925,0.425,0.64
0.48,0.225,0.825,0.53
0.67,0.525,0.225,0.51
0.58,0.825,0.425,0.58
0.48,0.125,0.425,0.39
0.44,0.825,0.325,0.48
0.64,0.925,0.425,0.63
0.69,0.125,0.125,0.41
0.39,0.125,0.925,0.5
0.61,0.725,0.225,0.52
0.46,0.725,0.925,0.65
0.74,0.225,0.225,0.48
0.54,0.125,0.125,0.33
0.37,0.425,0.625,0.46
0.43,0.125,0.825,0.49
0.44,0.625,0.525,0.5
0.57,0.225,0.825,0.58
0.73,0.325,0.225,0.5
0.53,0.925,0.925,0.73
0.71,0.125,0.625,0.57
0.71,0.125,0.325,0.48
0.67,0.625,0.225,0.53
0.6,0.125,0.325,0.42
0.64,0.925,0.225,0.57
0.54,0.325,0.925,0.61
0.52,0.325,0.125,0.36
0.61,0.825,0.125,0.51
0.4,0.925,0.125,0.42
0.48,0.225,0.325,0.38
0.36,0.925,0.625,0.55
0.33,0.625,0.225,0.36
0.67,0.325,0.825,0.65
0.76,0.425,0.825,0.71
0.32,0.625,0.325,0.38
0.67,0.525,0.325,0.54
0.58,0.725,0.625,0.62
0.62,0.325,0.725,0.59
0.31,0.725,0.425,0.43
0.75,0.525,0.925,0.76
0.4,0.225,0.825,0.49
0.38,0.325,0.425,0.38
0.75,0.625,0.425,0.63
0.34,0.725,0.325,0.41
0.67,0.325,0.725,0.62
0.47,0.225,0.725,0.5
0.49,0.525,0.225,0.42
0.42,0.925,0.325,0.49
0.59,0.325,0.525,0.52
0.63,0.525,0.725,0.64
0.39,0.625,0.625,0.51
0.37,0.525,0.125,0.33
0.61,0.325,0.425,0.5
0.64,0.625,0.925,0.72
0.61,0.725,0.525,0.61
0.42,0.625,0.325,0.43
0.57,0.225,0.625,0.52
0.35,0.125,0.825,0.45
0.54,0.525,0.725,0.59
0.62,0.625,0.725,0.65
0.39,0.325,0.125,0.3
0.49,0.525,0.925,0.63
0.57,0.825,0.225,0.52
0.44,0.525,0.725,0.54
0.77,0.725,0.725,0.75
0.48,0.125,0.825,0.51
0.56,0.925,0.325,0.56
0.7,0.425,0.725,0.65
0.73,0.925,0.325,0.65
0.5,0.225,0.725,0.51
0.61,0.625,0.425,0.56
0.78,0.125,0.225,0.48
0.71,0.525,0.225,0.53
0.36,0.725,0.325,0.42
0.44,0.125,0.125,0.28
0.44,0.625,0.625,0.53
0.39,0.125,0.925,0.5
0.53,0.125,0.725,0.51
0.67,0.425,0.825,0.67
0.68,0.225,0.825,0.63
0.66,0.325,0.425,0.52
0.49,0.925,0.625,0.62
0.46,0.125,0.425,0.38
0.55,0.125,0.225,0.37
0.38,0.825,0.125,0.39
0.38,0.825,0.125,0.39
0.4,0.125,0.825,0.47
0.44,0.725,0.325,0.46
0.44,0.325,0.925,0.56
0.47,0.925,0.525,0.58
0.51,0.525,0.125,0.4
0.34,0.825,0.225,0.4
0.52,0.625,0.925,0.66
0.79,0.625,0.425,0.65
0.36,0.225,0.425,0.35
0.72,0.425,0.925,0.72
0.42,0.325,0.825,0.52
0.68,0.525,0.925,0.72
0.75,0.125,0.525,0.56
0.42,0.625,0.925,0.61
0.69,0.825,0.725,0.73
0.31,0.925,0.625,0.53
0.58,0.925,0.825,0.72
0.51,0.125,0.625,0.47
0.36,0.225,0.825,0.47
0.8,0.125,0.325,0.52
0.7,0.225,0.825,0.64
0.79,0.725,0.525,0.7
0.59,0.325,0.225,0.43
0.46,0.725,0.725,0.59
0.66,0.625,0.125,0.49
0.44,0.625,0.725,0.56
0.46,0.725,0.525,0.53
0.52,0.425,0.925,0.62
0.35,0.725,0.125,0.36
0.39,0.625,0.225,0.39
0.49,0.325,0.125,0.35
0.68,0.525,0.625,0.63
0.75,0.125,0.225,0.47
0.69,0.325,0.525,0.57
0.39,0.825,0.325,0.46
0.37,0.325,0.925,0.53
0.33,0.125,0.125,0.23
0.65,0.925,0.225,0.58
0.3,0.825,0.125,0.35
0.37,0.125,0.925,0.49
0.6,0.125,0.825,0.57
0.57,0.625,0.325,0.51
0.35,0.325,0.725,0.46
0.58,0.525,0.725,0.61
0.42,0.125,0.425,0.36
0.61,0.625,0.225,0.5
0.41,0.825,0.425,0.5
0.55,0.825,0.125,0.48
0.57,0.525,0.525,0.55
0.65,0.425,0.725,0.63
0.38,0.125,0.425,0.34
0.57,0.825,0.425,0.58
0.47,0.525,0.525,0.5
0.56,0.125,0.825,0.55
0.61,0.925,0.325,0.59
0.4,0.925,0.525,0.54
0.56,0.325,0.325,0.44
0.38,0.825,0.925,0.63
0.34,0.525,0.325,0.37
0.56,0.625,0.625,0.59
0.44,0.725,0.725,0.58
0.43,0.225,0.225,0.33
0.36,0.125,0.125,0.24
0.75,0.925,0.325,0.66
0.48,0.125,0.325,0.36
0.41,0.425,0.925,0.57
0.31,0.525,0.525,0.42
0.33,0.425,0.225,0.32
0.69,0.225,0.925,0.67
0.74,0.225,0.725,0.63
0.74,0.525,0.125,0.51
0.32,0.425,0.725,0.46
0.53,0.925,0.125,0.49
0.33,0.125,0.925,0.47
0.64,0.925,0.625,0.69
0.79,0.225,0.825,0.69
0.64,0.825,0.925,0.76
0.39,0.325,0.425,0.39
0.66,0.725,0.625,0.66
0.34,0.325,0.125,0.27
0.67,0.225,0.325,0.48
0.75,0.625,0.525,0.66
0.4,0.625,0.925,0.6
0.52,0.925,0.525,0.6
0.39,0.625,0.625,0.51
0.69,0.825,0.625,0.7
0.42,0.225,0.925,0.53
0.78,0.825,0.425,0.68
0.44,0.525,0.125,0.36
0.78,0.825,0.225,0.62
0.54,0.625,0.725,0.61
0.44,0.125,0.125,0.28
0.45,0.925,0.725,0.63
0.45,0.725,0.225,0.44
0.54,0.725,0.325,0.51
0.78,0.225,0.625,0.62
0.44,0.125,0.225,0.31
0.54,0.225,0.525,0.47
